member,archive,archive_url,crs,min_x,min_y,max_x,max_y
3dm_33_384_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5816000,385000,5817000
3dm_33_384_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5817000,385000,5818000
3dm_33_384_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5818000,385000,5819000
3dm_33_384_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5819000,385000,5820000
3dm_33_384_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5820000,385000,5821000
3dm_33_384_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5821000,385000,5822000
3dm_33_384_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5822000,385000,5823000
3dm_33_384_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5823000,385000,5824000
3dm_33_384_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5824000,385000,5825000
3dm_33_384_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,384000,5825000,385000,5826000
3dm_33_385_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5816000,386000,5817000
3dm_33_385_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5817000,386000,5818000
3dm_33_385_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5818000,386000,5819000
3dm_33_385_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5819000,386000,5820000
3dm_33_385_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5820000,386000,5821000
3dm_33_385_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5821000,386000,5822000
3dm_33_385_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5822000,386000,5823000
3dm_33_385_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5823000,386000,5824000
3dm_33_385_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5824000,386000,5825000
3dm_33_385_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,385000,5825000,386000,5826000
3dm_33_386_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,386000,5816000,387000,5817000
3dm_33_386_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,386000,5817000,387000,5818000
