task_id	hash	name	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rchar	wchar
1	74/df3067	RENDER_INI (1)	-	COMPLETED	0	1	29ms	14.1s	114.3%	12.7 MB	17.7 MB	994.7 KB	2.1 KB
2	91/edeba3	PLAN_GRIDS (1)	-	COMPLETED	0	1	2.8s	16.8s	99.5%	115.7 MB	133.2 MB	22.3 MB	23.6 MB
3	14/03af81	TILE_VIEWER (1)	-	COMPLETED	0	1	333ms	978ms	99.0%	13.1 MB	18.1 MB	5.6 MB	2.3 KB
9	12/1d1535	OSM_EXTRACT (chunk_00006)	chunk_00006	COMPLETED	0	1	12.4s	17s	408.9%	11.4 GB	13.7 GB	2.4 GB	6.9 MB
15	5f/677440	OSM_EXTRACT (chunk_00012)	chunk_00012	COMPLETED	0	1	12.5s	17.1s	410.9%	12.2 GB	14.5 GB	2.4 GB	11.6 MB
6	7d/6db488	OSM_EXTRACT (chunk_00003)	chunk_00003	COMPLETED	0	1	12.8s	18.1s	407.6%	12.5 GB	14.8 GB	2.4 GB	13 MB
4	d2/0c4e91	OSM_EXTRACT (chunk_00001)	chunk_00001	COMPLETED	0	1	13.3s	19.1s	400.6%	13.6 GB	15.9 GB	2.4 GB	16.7 MB
8	8e/9bdf91	OSM_EXTRACT (chunk_00005)	chunk_00005	COMPLETED	0	1	13.1s	19.5s	404.9%	13.1 GB	15.5 GB	2.4 GB	15.2 MB
5	ee/92e9f2	OSM_EXTRACT (chunk_00002)	chunk_00002	COMPLETED	0	1	13.2s	19.6s	402.0%	13.5 GB	15.9 GB	2.4 GB	15.1 MB
13	cc/e87230	OSM_EXTRACT (chunk_00010)	chunk_00010	COMPLETED	0	1	13.8s	19.9s	385.9%	13.6 GB	15.9 GB	2.4 GB	13.1 MB
12	81/ab610c	OSM_EXTRACT (chunk_00009)	chunk_00009	COMPLETED	0	1	13.9s	20.1s	384.4%	13.6 GB	15.9 GB	2.4 GB	15 MB
91	ae/d147dd	OSM_TO_SHAPES (grid_25832_34_349)	grid_25832_34_349	COMPLETED	0	1	306ms	8.1s	101.9%	16 MB	176.9 MB	18.2 MB	7.3 MB
90	ed/d6d90f	OSM_TO_SHAPES (grid_25832_34_348)	grid_25832_34_348	COMPLETED	0	1	1.1s	8.9s	100.4%	16.1 MB	176.9 MB	112.6 MB	56.8 MB
92	95/a85de1	OSM_TO_SHAPES (grid_25832_35_328)	grid_25832_35_328	COMPLETED	0	1	513ms	1.6s	101.2%	16 MB	176.9 MB	40.1 MB	18.5 MB
95	a5/f00867	OSM_TO_SHAPES (grid_25832_36_340)	grid_25832_36_340	COMPLETED	0	1	860ms	1.7s	102.7%	15.9 MB	176.9 MB	107.6 MB	52.7 MB
89	dd/af43b5	OSM_TO_SHAPES (grid_25832_34_347)	grid_25832_34_347	COMPLETED	0	1	1.5s	2.8s	101.3%	15.7 MB	176.9 MB	278.5 MB	99.2 MB
94	7e/93cd20	OSM_TO_SHAPES (grid_25832_36_339)	grid_25832_36_339	COMPLETED	0	1	276ms	1.3s	103.2%	16.2 MB	176.9 MB	24.3 MB	10.5 MB
96	d2/ad3e96	OSM_TO_SHAPES (grid_25832_36_341)	grid_25832_36_341	COMPLETED	0	1	1.7s	3.2s	101.8%	15.8 MB	176.9 MB	440 MB	129.4 MB
10	bf/4c6dc9	OSM_EXTRACT (chunk_00007)	chunk_00007	COMPLETED	0	1	13.9s	15.5s	381.9%	13.8 GB	16.1 GB	2.4 GB	11.8 MB
98	30/634504	OSM_TO_SHAPES (grid_25832_32_347)	grid_25832_32_347	COMPLETED	0	1	746ms	1.7s	102.2%	15.8 MB	176.9 MB	85.6 MB	39.4 MB
93	4f/9bf74a	OSM_TO_SHAPES (grid_25832_36_335)	grid_25832_36_335	COMPLETED	0	1	3.1s	4s	102.0%	244.3 MB	9.6 GB	859 MB	281.9 MB
